Date,Equal Weight,Shrinkage Risk Parity,cDCC Risk Parity,Shrinkage Minimum Variance,cDCC Minimum Variance
2024-06-26,1.306927918799575,1.2176399478041247,1.21106474870569,1.163961281875121,1.1888667102779846
2024-06-27,1.3135342995212544,1.2200208962759582,1.2137573113218807,1.1634695869009357,1.1890935840323023
2024-06-28,1.315184243002865,1.2216389621465735,1.215205366868927,1.164522422027931,1.1900650698822701
2024-07-01,1.3171420936935587,1.2215888489145297,1.2151689602625069,1.1623150760722907,1.1888127480591422
2024-07-02,1.3236393397124,1.225968703990084,1.2197153397596812,1.165950456511338,1.1928342753842918
2024-07-03,1.3333650474416137,1.2324466113521013,1.2259018972232312,1.169795915845513,1.1961072527862624
2024-07-05,1.3385466473513286,1.2352048144715375,1.2284030747523051,1.1700426726652455,1.1960798167087714
2024-07-08,1.331584645927271,1.2306167783205504,1.2242652294267424,1.1675646369065538,1.194768107868103
2024-07-09,1.330718527182226,1.2299913726300196,1.2236855398657889,1.1670954809872993,1.194935146907693
2024-07-10,1.340650480361577,1.2362499745131776,1.2298414636622201,1.1707158219672538,1.1977525800565765
2024-07-11,1.3518240579899126,1.2448885242050511,1.2381644817122788,1.1779443175563526,1.204343399486299
2024-07-12,1.332554234735693,1.2325885981150202,1.2254802377272742,1.1685630815663366,1.194578576882599
2024-07-16,1.3350747110307217,1.234913756404455,1.227704698012013,1.1703007258051825,1.1959665123391359
2024-07-17,1.33522082568698,1.235697653551322,1.228337687526166,1.1725182108516221,1.196928772346231
2024-07-18,1.309865273011734,1.21880029088369,1.2114495623686903,1.161042844353894,1.1849916309750108
2024-07-19,1.3109502374172832,1.2189897743784779,1.2121778625231816,1.1617291624445472,1.1873359981795544
2024-07-22,1.3135389661576045,1.219141991253251,1.2128858380418763,1.159464487794218,1.1875402325225766
2024-07-23,1.30667020620131,1.2150201680153823,1.2087387139313672,1.1577623560069443,1.1851997266814427
2024-07-24,1.2902420013793643,1.2033295669674293,1.1967262336613493,1.1497942815101956,1.1754819494706414
2024-07-25,1.2739462515465874,1.1910250195462608,1.1846871378938697,1.1390851183202944,1.165453353099854
2024-07-26,1.2762937544973103,1.192382565252749,1.1860337261859928,1.1391392165588288,1.1657475797668486
2024-07-29,1.2812333342033773,1.1981174446610328,1.1916263430514875,1.1452728975464972,1.170726408565528
2024-07-30,1.2799969263759539,1.1973423563657277,1.1905685980956278,1.1444999138053378,1.1693700633378559
2024-07-31,1.2833424404547893,1.198555289080494,1.1911465343958072,1.144493148681236,1.1663723565776787
2024-08-01,1.2565625410313046,1.1798398492210413,1.1724590268556954,1.1297781944297336,1.151249037184916
2024-08-02,1.2434386473365788,1.1698982125058797,1.1624425465783548,1.1200005024189315,1.1408553015525766
2024-08-05,1.199402223218132,1.1393492766470614,1.132932886613849,1.0937916897787758,1.1182956899587093
2024-08-06,1.2064432647715009,1.144664849353193,1.1376215237625216,1.1020247682783768,1.123618212443574
2024-08-07,1.2004704493707112,1.1410175758963348,1.1330719163723875,1.1009741013940424,1.1195290969112905
2024-08-08,1.2140095024961468,1.1493830231250874,1.1422387911445135,1.1036649530661606,1.1265966928485762
2024-08-09,1.2330568313776904,1.1637913265544675,1.1565857947890132,1.1155728700569187,1.1380929092672025
2024-08-13,1.2394742106268564,1.1693506954972765,1.1621240712632288,1.1214835130195546,1.1435037015278156
2024-08-14,1.2449636136145452,1.175501682652422,1.1683119396293054,1.1286006461001483,1.1505617466214462
2024-08-15,1.2493810653370583,1.1780901705420475,1.170827036208171,1.12918249464595,1.1524603244884688
2024-08-16,1.2689037780586434,1.1925991525916695,1.1850779948033536,1.1415457359183059,1.164441314448755
2024-08-19,1.2637974693515805,1.1878217458904146,1.1805068615083887,1.1362041161826595,1.1606597829351049
2024-08-20,1.2565798531245997,1.1838468494825076,1.1761615718842149,1.134986036573697,1.1572430954842479
2024-08-21,1.2493026784847225,1.178385978274467,1.1707285380321801,1.1298228176813665,1.1520135397849898
2024-08-22,1.2454587203962555,1.1759236624891558,1.168403655533647,1.1287269206489736,1.1516685575364842
2024-08-23,1.264245866726947,1.1876405794037397,1.1801413917417933,1.1353303165565767,1.159322995845323
2024-08-27,1.2665763162521853,1.1905716071246435,1.1825270987505208,1.1389610757609072,1.1624180063244733
2024-08-28,1.2605221338218826,1.1869747815026097,1.1789990974524092,1.1377404719892372,1.1606422151648144
2024-08-29,1.2612109510656375,1.1869429051235099,1.1791455946767133,1.1372817280729997,1.1607237260826246
2024-08-30,1.2639394161519564,1.188123241959817,1.1806065035841735,1.1365082326734122,1.1607629015166885
2024-09-03,1.265668497435705,1.1905717446135324,1.1831131924803986,1.1417190796739611,1.1642152908457033
2024-09-04,1.252964539115619,1.180581031553287,1.1733785316034204,1.1319012638228267,1.1558989340191237
2024-09-05,1.2425172915046636,1.1733816331589044,1.165609307125807,1.1255895345122817,1.1482062056277758
2024-09-06,1.2394828315377098,1.1728489226427377,1.1650464451368534,1.1277465494147414,1.1502564012717842
2024-09-09,1.2353437979248967,1.1683003680554804,1.1604279001475746,1.1222208971715522,1.1444907843918066
2024-09-10,1.2398286261695173,1.171412718508242,1.1633549368225973,1.124682803483664,1.1467691762354801
2024-09-11,1.2348503337752426,1.1672359024799,1.1594928667691218,1.1193381704865728,1.1421174751789318
2024-09-12,1.2431638654180448,1.173368388450325,1.165135606608089,1.1235937977957269,1.145281145335052
2024-09-13,1.2423039101667985,1.173313171776705,1.164976890406661,1.1232104835113914,1.145939437802639
2024-09-17,1.2430736365457447,1.1741243881799277,1.1660186972389075,1.1243967889895665,1.1480971318657718
2024-09-18,1.246250925307074,1.1761871678516744,1.1684178751348608,1.126361110917994,1.1515264381778927
2024-09-19,1.2612452555999338,1.1856188028250947,1.1779150132910376,1.131917168820818,1.158088300752634
2024-09-20,1.2634697960862757,1.187394433966768,1.179477485637383,1.1345573888216682,1.1601837522742213
2024-09-24,1.2699296646564453,1.1920162632442077,1.1836963296678082,1.1359056355518857,1.160553449400657
2024-09-25,1.2618337859805797,1.187279505547711,1.1788652913618585,1.1343608117318487,1.1592272999440532
2024-09-26,1.2781961165815543,1.1977543740280026,1.188986939764716,1.1407093972502877,1.1652158181521255
2024-09-27,1.2868964013555828,1.205715134693919,1.197026546003099,1.1494501061109694,1.1733230598707893
2024-09-30,1.2609844472934961,1.1846623049115002,1.176690285167659,1.1297203262253905,1.1553670489432792
2024-10-01,1.2736102887532559,1.193970880159617,1.1861726574601767,1.1370128743233945,1.163471421266026
2024-10-02,1.2713517882158205,1.1911066959224585,1.1832843034026956,1.1326220691672013,1.1587397626671436
2024-10-03,1.2912609180631078,1.2061380769969796,1.199379979684961,1.147123637890355,1.176365452226776
2024-10-04,1.2893044584839397,1.203781593414091,1.1964923395312388,1.1426314092466225,1.1708132389218247
2024-10-07,1.3036755444213766,1.212527735224366,1.2056731386202002,1.1489649757646299,1.1787708018313072
2024-10-08,1.2892982226716552,1.2021740853383602,1.1956178634215382,1.1418193550980231,1.1720760881860928
2024-10-09,1.288307873728115,1.2014932341323805,1.1949711895295443,1.1414731923473165,1.1716974413045778
2024-10-10,1.2969781680878076,1.2069905980620823,1.2007436199525747,1.1458991771196296,1.1770735347590748
2024-10-11,1.2980210565681178,1.207063297255628,1.2011020132499035,1.1437223487124666,1.1748845406671715
